x,u
0.00465,1.36e-06
0.03763,1.744e-05
0.05412,2.6434e-05
0.07267,3.9495e-05
0.09843,5.4774e-05
0.12728,7.3872e-05
0.1551,9.1738e-05
0.18808,0.000109727
0.22106,0.000127963
0.26023,0.000145706
0.30971,0.000163326
0.33961,0.000171828
0.37777,0.000180577
0.41696,0.000187107
0.48297,0.000193762
0.5428,0.000196966
0.62945,0.000198075
0.70167,0.000198076
0.78316,0.000197707
0.85228,0.000197338
0.94307,0.000198202
1.09162,0.000200298
1.24532,0.000204119
1.39283,0.00020831
1.54654,0.00021287
1.7023,0.000217554
1.85085,0.000221744
1.99733,0.000225812
2.15413,0.000230372
2.30371,0.000234193
2.45432,0.000238138
2.60596,0.000242328
2.75657,0.000246149
2.90821,0.000249971
3.05985,0.000253792
3.21562,0.000257859
3.3652,0.000261803
3.51787,0.000265501
3.67261,0.000269076
3.82631,0.000272651
3.97796,0.000276349
4.12444,0.00028017
4.19562,0.000282388
4.27608,0.000284976
4.34519,0.000287565
4.42462,0.000289414
4.49684,0.000289168
4.56803,0.000284363
4.61137,0.000277094
4.67742,0.000260707
4.70427,0.000249495
4.73731,0.000232862
4.76726,0.000214257
4.79618,0.000195899
4.82097,0.000177787
4.84267,0.000158442
4.86024,0.000141439
4.88194,0.000121479
4.89744,0.000104722
4.91502,8.5501e-05
4.93259,6.7019e-05
4.95119,4.7922e-05
4.96979,3.1904e-05
4.98323,1.8474e-05
4.99769,4.551e-06
